county,election,county_dem_share,state_dem_share,weight,county_lean
Placer,2022_gov_gen,0.6994,0.592,0.1,0.1074
Stanislaus,2024_pres_gen,0.4322,0.585,0.2,-0.1528
Stanislaus,2024_senate_pri,0.4204,0.5946,0.1,-0.1742
Stanislaus,2024_senate_gen,0.447,0.589,0.2,-0.142
Stanislaus,2022_ss4_pri,0.4306,,0.2,
Stanislaus,2022_senate_pri,0.4409,0.591,0.05,-0.1501
Stanislaus,2022_gov_pri,0.4423,0.5874,0.05,-0.1451
Stanislaus,2022_senate_gen,0.4497,0.611,0.1,-0.1613
Stanislaus,2022_gov_gen,0.4223,0.592,0.1,-0.1697
Tuolumne,2024_pres_gen,0.3787,0.585,0.2,-0.2063
Tuolumne,2024_senate_pri,0.4059,0.5946,0.1,-0.1887
Tuolumne,2024_senate_gen,0.3763,0.589,0.2,-0.2127
Tuolumne,2022_ss4_pri,0.3818,,0.2,
Tuolumne,2022_senate_pri,0.3912,0.591,0.05,-0.1998
Tuolumne,2022_gov_pri,0.3917,0.5874,0.05,-0.1957
Tuolumne,2022_senate_gen,0.3892,0.611,0.1,-0.2218
Tuolumne,2022_gov_gen,0.3647,0.592,0.1,-0.2273
