county,date,year,month,registered_voters
Placer,2012-06-01,2012,6,194705
Placer,2012-11-01,2012,11,208604
Placer,2014-06-01,2014,6,200829
Placer,2014-11-01,2014,11,200422
Placer,2016-06-01,2016,6,210913
Placer,2016-11-01,2016,11,226249
Placer,2018-06-01,2018,6,223963
Placer,2018-11-01,2018,11,234732
Placer,2020-03-01,2020,3,247932
Placer,2020-11-01,2020,11,270599
Placer,2022-06-01,2022,6,276046
Placer,2022-11-01,2022,11,279016
Placer,2024-03-01,2024,3,281556
Placer,2024-11-01,2024,11,291479
Placer,2026-06-01,2026,6,298455
Placer,2026-11-01,2026,11,305050
Stanislaus,2012-06-01,2012,6,220521
Stanislaus,2012-11-01,2012,11,232909
Stanislaus,2014-06-01,2014,6,211330
Stanislaus,2014-11-01,2014,11,214209
Stanislaus,2016-06-01,2016,6,219464
Stanislaus,2016-11-01,2016,11,241144
Stanislaus,2018-06-01,2018,6,236613
Stanislaus,2018-11-01,2018,11,248466
Stanislaus,2020-03-01,2020,3,261326
Stanislaus,2020-11-01,2020,11,279644
Stanislaus,2022-06-01,2022,6,282212
Stanislaus,2022-11-01,2022,11,282393
Stanislaus,2024-03-01,2024,3,285977
Stanislaus,2024-11-01,2024,11,293212
Stanislaus,2026-06-01,2026,6,300132
Stanislaus,2026-11-01,2026,11,304987
Tuolumne,2012-06-01,2012,6,31287
Tuolumne,2012-11-01,2012,11,31769
Tuolumne,2014-06-01,2014,6,29880
Tuolumne,2014-11-01,2014,11,29274
Tuolumne,2016-06-01,2016,6,29472
Tuolumne,2016-11-01,2016,11,31402
Tuolumne,2018-06-01,2018,6,30932
Tuolumne,2018-11-01,2018,11,31999
Tuolumne,2020-03-01,2020,3,32562
Tuolumne,2020-11-01,2020,11,35042
Tuolumne,2022-06-01,2022,6,35221
Tuolumne,2022-11-01,2022,11,35355
Tuolumne,2024-03-01,2024,3,34816
Tuolumne,2024-11-01,2024,11,35472
Tuolumne,2026-06-01,2026,6,35571
Tuolumne,2026-11-01,2026,11,36167
Alpine,2012-06-01,2012,6,1
Alpine,2012-11-01,2012,11,1
Amador,2012-06-01,2012,6,1
Amador,2012-11-01,2012,11,1
Calaveras,2012-06-01,2012,6,1
Calaveras,2012-11-01,2012,11,1
El Dorado,2012-06-01,2012,6,1
El Dorado,2012-11-01,2012,11,1
Inyo,2012-06-01,2012,6,1
Inyo,2012-11-01,2012,11,1
Madera,2012-06-01,2012,6,0
Madera,2012-11-01,2012,11,0
Mariposa,2012-06-01,2012,6,1
Mariposa,2012-11-01,2012,11,1
Merced,2012-06-01,2012,6,0
Merced,2012-11-01,2012,11,0
Mono,2012-06-01,2012,6,1
